,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
55,Garoua,9.3,13.4,89.6,11,0,6.91,CM,1611773877
56,Mataura,-46.1927,168.8643,50.0,86,70,15.01,NZ,1611773878
57,Cherskiy,68.75,161.3,-23.13,85,100,3.65,RU,1611773879
58,Biltine,14.5333,20.9167,75.78,16,1,9.69,TD,1611773880
59,Vila Franca do Campo,37.7167,-25.4333,64.0,94,40,16.11,PT,1611773881
60,Hobart,-42.8794,147.3294,55.4,50,90,6.91,AU,1611773783
61,Albany,42.6001,-73.9662,30.99,63,91,14.0,US,1611773832
62,Kastamonu Province,41.5,33.6667,39.7,83,100,6.87,TR,1611773886
63,Tasiilaq,65.6145,-37.6368,16.7,88,100,10.29,GL,1611773887
64,Sørland,67.667,12.6934,33.8,75,75,17.27,NO,1611773888
65,Lebu,-37.6167,-73.65,61.43,66,100,10.07,CL,1611773889
66,Hermanus,-34.4187,19.2345,64.99,72,32,7.92,ZA,1611773879
67,Warah,27.4481,67.7978,55.58,32,0,6.73,PK,1611773891
68,Ushibukamachi,32.1906,130.0228,48.49,68,0,6.04,JP,1611773892
69,Hay River,60.8156,-115.7999,-11.2,70,100,9.22,CA,1611773894
70,Flagstaff,35.1981,-111.6513,34.0,68,1,3.44,US,1611773634
71,Kapaa,22.0752,-159.319,75.0,88,90,13.8,US,1611773896
72,Natchez,31.5604,-91.4032,53.6,71,1,8.05,US,1611773897
73,Leningradskiy,69.3833,178.4167,-18.2,87,100,3.53,RU,1611773898
74,Atuona,-9.8,-139.0333,78.22,77,1,16.67,PF,1611773899
75,Yulara,-25.2406,130.9889,77.0,73,75,11.5,AU,1611773900
76,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,40,5.75,CA,1611773887
77,Lüderitz,-26.6481,15.1594,68.74,58,0,31.27,NA,1611773903
78,Ahipara,-35.1667,173.1667,64.94,89,55,4.07,NZ,1611773905
79,Dzaoudzi,-12.7887,45.2699,80.6,83,0,4.61,YT,1611773907
80,Arman',59.7,150.1667,-15.52,79,0,9.35,RU,1611773908
81,Puerto Ayora,-0.7393,-90.3518,84.2,70,75,13.8,EC,1611773909
82,Mina,26.0011,-100.5299,62.01,30,99,3.0,MX,1611773910
83,George Town,5.4112,100.3354,79.0,94,40,4.61,MY,1611773911
84,La Ronge,55.1001,-105.2842,-4.0,71,27,8.05,CA,1611773913
85,Vila Velha,-20.3297,-40.2925,88.0,51,20,16.11,BR,1611773901
86,Iqaluit,63.7506,-68.5145,-11.2,77,1,2.3,CA,1611773896
87,Avarua,-21.2078,-159.775,84.2,70,100,18.41,CK,1611773881
88,Litovko,49.2361,135.1742,-8.18,87,0,5.55,RU,1611773917
89,Aswān,24.0934,32.907,63.82,25,0,10.45,EG,1611773918
90,Norman Wells,65.282,-126.8329,-32.8,68,40,3.44,CA,1611773919
91,Cidreira,-30.1811,-50.2056,78.28,81,100,11.88,BR,1611773920
92,Alappuzha,9.49,76.3264,75.0,78,100,5.21,IN,1611773922
93,Narasannapeta,18.4167,84.05,71.64,86,20,3.31,IN,1611773923
94,Mahébourg,-20.4081,57.7,77.0,83,20,6.91,MU,1611773924
95,Nouadhibou,20.931,-17.0347,71.6,68,0,12.66,MR,1611773925
96,Saint-Philippe,-21.3585,55.7679,78.8,69,38,4.61,RE,1611773909
97,Bethel,41.3712,-73.414,33.01,79,98,9.06,US,1611773927
98,Lagoa,39.05,-27.9833,61.11,82,100,30.94,PT,1611773928
99,Hong Kong,22.2855,114.1577,64.0,85,5,9.55,HK,1611773860
100,Laas,46.6166,10.7002,33.01,80,40,1.14,IT,1611773930
101,Korla,41.7597,86.1469,22.03,82,0,3.58,CN,1611773932
102,Strängnäs,59.3774,17.0312,19.0,86,0,2.3,SE,1611773933
103,Guerrero Negro,27.9769,-114.0611,61.65,40,100,6.26,MX,1611773934
104,Kununurra,-15.7667,128.7333,77.0,100,90,3.44,AU,1611773935
105,Young,-32.6833,-57.6333,93.0,44,86,1.99,UY,1611773936
106,Kavieng,-2.5744,150.7967,83.1,73,100,9.73,PG,1611773937
107,Elizabeth City,36.2946,-76.2511,46.4,76,75,9.22,US,1611773938
108,Rostov-on-Don,47.2364,39.7139,37.4,93,75,20.13,RU,1611773857
109,Barrow,71.2906,-156.7887,-13.0,84,90,4.61,US,1611773942
110,Tadine,-21.55,167.8833,77.56,85,100,16.22,NC,1611773943
111,Dwārka,22.2394,68.9678,67.24,46,0,9.95,IN,1611773944
112,Henties Bay,-22.116,14.2845,68.0,82,22,6.04,NA,1611773945
113,Laguna,38.421,-121.4238,51.01,76,90,27.63,US,1611773946
114,Alyangula,-13.8483,136.4192,82.4,83,90,8.05,AU,1611773948
115,Talcahuano,-36.7167,-73.1167,68.0,52,0,20.71,CL,1611773949
116,Vanavara,60.34,102.2797,-20.6,84,100,10.87,RU,1611773951
117,Caluquembe,-13.7833,14.6833,64.62,63,98,9.75,AO,1611773952
118,Aklavik,68.2191,-135.0107,-13.0,77,100,4.61,CA,1611773953
119,East London,-33.0153,27.9116,68.0,88,75,5.75,ZA,1611773955
120,Sabha,27.0377,14.4283,50.2,45,0,5.66,LY,1611773956
121,Pedernales,18.0384,-71.744,83.97,51,0,1.28,DO,1611773958
122,Grajewo,53.6473,22.4554,27.64,97,92,7.23,PL,1611773959
123,Nikolskoye,59.7035,30.7861,33.8,93,75,6.71,RU,1611773929
124,Baykit,61.67,96.37,-28.43,79,100,4.52,RU,1611773919
125,Katsuura,35.1333,140.3,45.0,57,75,10.36,JP,1611773964
126,Meadow Lake,34.8014,-106.5436,36.0,59,1,3.71,US,1611773965
127,Tual,-5.6667,132.75,83.48,78,100,19.84,ID,1611773966
128,Yellowknife,62.456,-114.3525,-9.99,77,90,4.61,CA,1611773909
129,Faya,18.3851,42.4509,60.8,58,0,5.75,SA,1611773969
130,Chui,-33.6971,-53.4616,80.85,65,8,11.25,UY,1611773971
131,Puerto Escondido,15.85,-97.0667,85.51,45,44,6.96,MX,1611773972
132,Castro,-24.7911,-50.0119,73.51,86,100,9.13,BR,1611773916
133,The Valley,18.217,-63.0578,84.2,65,20,14.97,AI,1611773720
134,Tiksi,71.6872,128.8694,-38.51,83,89,2.73,RU,1611773976
135,Lorengau,-2.0226,147.2712,82.09,78,100,7.56,PG,1611773977
136,Esperance,-33.8667,121.9,62.6,88,90,5.75,AU,1611773978
137,Kingman,35.1894,-114.053,37.4,65,1,11.5,US,1611773885
138,Kalmunai,7.4167,81.8167,75.87,77,82,8.81,LK,1611773773
139,Codrington,-38.2667,141.9667,61.72,75,99,12.39,AU,1611773936
140,Río Gallegos,-51.6226,-69.2181,53.6,35,40,26.46,AR,1611773913
141,Winslow,35.0242,-110.6974,24.8,68,1,10.36,US,1611773984
142,Belmonte,-15.8631,-38.8828,82.4,61,40,10.36,BR,1611773905
143,Khandyga,62.6667,135.6,-52.78,76,70,0.87,RU,1611773986
144,Malakal,9.5334,31.6605,85.08,21,0,6.26,SS,1611773987
145,Morgan City,29.6994,-91.2068,66.2,77,75,17.27,US,1611773922
146,Port Hedland,-20.3167,118.5667,80.6,74,0,8.05,AU,1611773877
147,Nālūt,30.3333,10.85,50.65,44,0,7.7,LY,1611773990
148,Santa Maria,-29.6842,-53.8069,72.97,91,100,5.44,BR,1611773755
149,Baghdad,33.3406,44.4009,60.8,33,40,8.05,IQ,1611773980
150,Faanui,-16.4833,-151.75,80.83,73,1,15.84,PF,1611773994
151,Bilibino,68.0546,166.4372,-9.67,84,100,6.24,RU,1611773995
152,New Norfolk,-42.7826,147.0587,54.0,58,100,0.25,AU,1611773996
153,Guelph,43.5501,-80.2497,24.01,68,75,18.41,CA,1611773845
154,Naze,28.3667,129.4833,56.53,74,42,10.94,JP,1611773928
155,Kangaatsiaq,68.3065,-53.4641,5.38,94,46,6.6,GL,1611773999
156,Tobermory,45.2501,-81.6665,19.4,73,99,11.5,CA,1611774001
157,Lodwar,3.1191,35.5973,84.27,35,0,14.79,KE,1611774002
158,Bambous Virieux,-20.3428,57.7575,78.01,83,20,6.91,MU,1611773709
159,Rawson,-43.3002,-65.1023,69.85,32,100,9.69,AR,1611773918
160,Kutum,14.2,24.6667,69.24,22,100,13.09,SD,1611774006
161,Poya,-21.35,165.15,75.31,82,94,2.39,NC,1611774008
162,Alice Springs,-23.7,133.8833,75.2,83,6,2.3,AU,1611773817
163,Ribeira Grande,38.5167,-28.7,59.0,88,75,25.32,PT,1611774012
164,Vostok,46.4856,135.8833,-12.03,90,83,3.49,RU,1611774013
165,Lewistown,40.5992,-77.5714,35.01,69,75,11.5,US,1611774015
166,Lugovoy,42.9472,72.7644,15.87,85,0,3.11,KZ,1611774016
167,Worland,44.0169,-107.9554,26.01,73,1,9.28,US,1611774017
168,Hasaki,35.7333,140.8333,37.4,75,75,9.22,JP,1611773919
169,Brusque,-27.0981,-48.9175,95.0,89,40,11.5,BR,1611774015
170,Kemijärvi,66.7131,27.4306,12.83,95,100,9.42,FI,1611774021
171,Susanville,40.4163,-120.653,37.99,65,1,17.27,US,1611773834
172,Liverpool,53.4106,-2.9779,46.99,93,20,6.91,GB,1611774023
173,Calama,-22.4667,-68.9333,77.0,13,0,17.27,CL,1611774015
174,Port Shepstone,-30.7414,30.455,71.91,94,100,14.12,ZA,1611774025
175,Noumea,-22.2763,166.4572,80.01,83,90,2.3,NC,1611774004
176,Sur,22.5667,59.5289,67.75,72,0,9.78,OM,1611773882
177,Bengkulu,-3.8004,102.2655,74.62,93,100,8.57,ID,1611774029
178,Bushehr,28.9684,50.8385,60.8,67,0,5.23,IR,1611774030
179,Araouane,18.9048,-3.5265,74.08,17,0,8.5,ML,1611774031
180,Sarkand,45.41,79.9186,14.97,77,0,2.3,KZ,1611774033
181,Butaritari,3.0707,172.7902,80.24,80,100,12.01,KI,1611774034
182,Basco,20.4487,121.9702,73.11,78,6,18.88,PH,1611773934
183,Deputatsky,69.3,139.9,-24.25,88,100,2.26,RU,1611774037
184,Buluang,13.3068,123.3425,74.01,91,89,4.0,PH,1611774038
185,Inyonga,-6.7167,32.0667,65.77,91,46,1.43,TZ,1611774039
186,General Pico,-35.6566,-63.7568,99.09,10,0,9.71,AR,1611774040
187,Moses Lake,47.1301,-119.2781,37.4,87,90,6.91,US,1611774042
188,Quatre Cocos,-20.2078,57.7625,78.01,83,20,4.61,MU,1611774043
189,Sechura,-5.5569,-80.8222,83.68,49,56,11.83,PE,1611774044
190,Fairbanks,64.8378,-147.7164,-5.01,69,40,1.83,US,1611774046
191,Nikolayevsk-on-Amur,53.1406,140.73,-1.41,90,100,4.74,RU,1611774047
192,Kahului,20.8947,-156.47,75.2,69,40,19.57,US,1611774048
193,Mossamedes,-15.1961,12.1522,75.61,77,34,10.78,AO,1611774050
194,São Filipe,14.8961,-24.4956,77.09,63,0,4.5,CV,1611773947
195,Yangambi,0.8102,24.4336,70.95,91,56,1.61,CD,1611774052
196,Flinders,-34.5833,150.8552,68.0,80,100,3.0,AU,1611773882
197,Oddur,4.1213,43.8894,79.25,39,0,10.6,SO,1611774054
198,Opuwo,-18.0607,13.84,74.23,59,100,9.31,NA,1611774057
199,Tautira,-17.7333,-149.15,82.4,69,75,1.14,PF,1611774059
200,Cap-Haïtien,19.7578,-72.2042,77.43,75,0,14.85,HT,1611773837
201,Nambucca Heads,-30.65,153.0,72.0,94,90,9.22,AU,1611774061
202,Pojejena,44.7742,21.5792,30.0,85,1,5.01,RO,1611774063
203,Qasigiannguit,68.8193,-51.1922,10.4,56,20,1.14,GL,1611774066
204,Santa Isabel Rio Negro,-0.4139,-65.0192,90.75,48,100,4.03,BR,1611774067
205,Kargasok,59.0556,80.8572,-25.91,85,89,6.29,RU,1611774068
206,Belaya Gora,68.5333,146.4167,-23.96,87,100,2.71,RU,1611773928
207,Narsaq,60.9167,-46.05,37.4,32,75,37.98,GL,1611773917
208,Sitka,57.0531,-135.33,26.6,43,1,4.61,US,1611774073
209,Bulungu,-4.55,18.6,70.43,97,100,5.06,CD,1611774074
210,Oktyabr'skiy,54.4815,53.471,21.74,95,100,13.11,RU,1611774075
211,Māngrol,21.1167,70.1167,63.05,36,19,12.71,IN,1611774076
212,Hithadhoo,-0.6,73.0833,81.01,79,94,14.47,MV,1611774077
213,Chokurdakh,70.6333,147.9167,-17.23,87,100,14.07,RU,1611774079
214,Todos Santos,23.45,-110.2167,69.01,52,100,5.99,MX,1611774080
215,Lompoc,34.6391,-120.4579,50.0,87,90,13.8,US,1611774081
216,Paris,48.8534,2.3488,46.99,100,90,9.22,FR,1611773471
217,Verkh-Usugli,52.7,115.1667,-20.07,84,64,3.29,RU,1611774083
218,Nāgar Karnūl,16.4821,78.3247,68.29,72,100,6.91,IN,1611774081
219,Ostrovnoy,68.0531,39.5131,11.23,95,100,22.53,RU,1611773908
220,Kiryat Gat,31.61,34.7642,57.99,56,26,7.0,IL,1611773940
221,Novopokrovka,49.8425,36.5477,39.2,87,75,13.42,UA,1611774090
222,Sawtell,-30.3833,153.1,72.0,94,90,9.22,AU,1611774091
223,Bismarck,46.8083,-100.7837,12.2,79,90,10.36,US,1611774092
224,Port Elizabeth,-33.918,25.5701,66.2,94,75,6.91,ZA,1611774093
225,Gamba,-2.65,10.0,77.36,87,100,3.83,GA,1611773936
226,Bentiu,9.2333,29.8333,84.18,24,93,3.74,SS,1611774097
227,Havøysund,70.9963,24.6622,23.0,68,40,17.27,NO,1611774098
228,Portland,45.5234,-122.6762,42.01,87,75,4.61,US,1611773752
229,Sardulgarh,29.7,75.25,48.51,42,0,4.25,IN,1611774100
230,Sydney Mines,46.2367,-60.2177,34.0,86,75,16.11,CA,1611774101
231,Matagami,49.7502,-77.6328,5.0,92,90,10.36,CA,1611774102
232,Verkhoyansk,67.5447,133.385,-48.46,73,85,0.81,RU,1611773820
233,Kodinsk,58.6881,99.1844,-7.33,88,100,10.4,RU,1611774104
234,Isangel,-19.55,169.2667,80.06,83,100,16.51,VU,1611773922
235,Bubaque,11.2833,-15.8333,78.42,66,0,15.41,GW,1611774107
236,Rincon,32.296,-81.2354,55.99,88,90,8.05,US,1611773831
237,Rakkestad,59.4251,11.3454,19.0,93,1,4.16,NO,1611774110
238,Spasskoye,44.6108,132.7969,-3.03,84,6,3.96,RU,1611774111
239,Kyra,49.5776,111.9753,-21.05,78,0,4.32,RU,1611774112
240,Aitape,-3.1374,142.3475,77.5,84,100,5.06,PG,1611774114
241,Dikson,73.5069,80.5464,-21.71,86,100,8.61,RU,1611774115
242,Nanortalik,60.1432,-45.2371,25.09,91,100,4.65,GL,1611774116
243,Erenhot,43.6475,111.9767,-10.86,84,0,12.33,CN,1611774118
244,Ust-Tsilma,65.441,52.1498,2.19,93,100,6.11,RU,1611774119
245,Paamiut,61.994,-49.6678,25.61,85,100,6.98,GL,1611774120
246,São José da Coroa Grande,-8.8978,-35.1478,80.28,76,35,10.76,BR,1611774123
247,Geraldton,-28.7667,114.6,66.2,68,0,13.8,AU,1611773917
248,Richards Bay,-28.783,32.0377,74.52,96,100,8.3,ZA,1611774126
249,Santa Barbara,34.7333,-120.0343,48.99,93,90,21.85,US,1611774058
250,Mier,26.4333,-99.15,73.99,14,1,12.66,MX,1611774128
251,Natal,-5.795,-35.2094,87.8,51,20,17.27,BR,1611774129
252,Huarmey,-10.0681,-78.1522,76.19,67,100,11.43,PE,1611774130
253,Berlevåg,70.8578,29.0864,24.8,68,75,26.46,NO,1611774132
254,Salalah,17.0151,54.0924,75.2,69,0,3.44,OM,1611773908
255,Vredendal,-31.6683,18.5012,67.5,50,0,20.51,ZA,1611774134
256,Axum,14.1245,38.7244,51.44,36,0,2.86,ET,1611774135
257,Fengzhen,40.4394,113.1536,5.34,62,0,24.4,CN,1611774136
258,Clyde River,70.4692,-68.5914,-7.6,77,40,2.3,CA,1611774140
259,Dunedin,-45.8742,170.5036,55.99,57,1,5.99,NZ,1611773946
260,Yarkovo,57.4028,67.0786,18.48,98,100,5.41,RU,1611774142
261,Krasnoufimsk,56.6059,57.7669,22.51,95,100,9.37,RU,1611774143
262,Vaitape,-16.5167,-151.75,80.91,73,91,14.99,PF,1611774144
263,Arraial do Cabo,-22.9661,-42.0278,89.6,51,0,27.63,BR,1611773876
264,Ilulissat,69.2167,-51.1,10.4,56,20,1.14,GL,1611774148
265,Port Blair,11.6667,92.75,79.12,80,65,11.16,IN,1611774149
266,Hualmay,-11.0964,-77.6139,76.91,64,65,11.25,PE,1611774150
267,Craigieburn,-37.6,144.95,60.8,88,75,8.05,AU,1611774151
268,Tuatapere,-46.1333,167.6833,50.0,86,100,13.0,NZ,1611774152
269,Saint George,37.1041,-113.5841,39.99,56,90,16.11,US,1611774153
270,Kisumu,-0.1022,34.7617,73.4,68,0,3.44,KE,1611774156
271,Port Hardy,50.6996,-127.4199,39.2,87,90,6.91,CA,1611774045
272,Bongandanga,1.5,21.05,71.73,96,100,0.56,CD,1611774158
273,Ropar,30.9664,76.5331,48.42,55,0,2.51,IN,1611774159
274,Ndago,-4.6,34.35,67.1,73,72,3.13,TZ,1611774160
275,Zaraza,9.3503,-65.3245,91.71,37,100,6.93,VE,1611774162
276,College,64.8569,-147.8028,-23.8,69,40,2.21,US,1611774163
277,Maniitsoq,65.4167,-52.9,19.49,75,0,7.99,GL,1611774164
278,Walvis Bay,-22.9575,14.5053,69.8,68,0,3.44,NA,1611774165
279,Maceió,-9.6658,-35.7353,77.0,83,75,12.66,BR,1611773958
280,Bandarbeyla,9.4942,50.8122,73.98,73,0,18.59,SO,1611774167
281,Palmer,42.1584,-72.3287,34.0,87,93,5.08,US,1611773896
282,Livingston,55.9029,-3.5226,39.2,93,90,8.05,GB,1611774169
283,Harper,4.375,-7.7169,79.34,81,5,5.93,LR,1611774171
284,Olafsvik,64.8945,-23.7142,30.42,88,100,16.73,IS,1611774172
285,Māndal,25.45,74.5667,51.3,45,0,2.73,IN,1611774173
286,Gizo Government Station,-8.103,156.8419,83.59,78,74,11.3,SB,1611774174
287,Loandjili,-4.7561,11.8578,82.4,83,20,5.75,CG,1611774175
288,Pacific Grove,36.6177,-121.9166,53.6,76,90,11.36,US,1611774176
289,São João del Rei,-21.1356,-44.2617,82.4,42,75,3.44,BR,1611774103
290,Inhambane,-23.865,35.3833,84.2,79,20,6.91,MZ,1611774179
291,Coruche,38.9595,-8.5252,59.0,77,100,2.04,PT,1611774180
292,Te Anau,-45.4167,167.7167,46.6,75,89,5.66,NZ,1611774181
293,Mana,5.6592,-53.7767,80.83,70,1,11.63,GF,1611774183
294,Taoudenni,22.6783,-3.9836,74.39,20,0,12.1,ML,1611774184
295,Weiser,44.251,-116.9693,39.99,70,90,29.93,US,1611774185
296,Hamilton,39.1834,-84.5333,34.0,69,90,6.91,US,1611774030
297,Nouakchott,18.0858,-15.9785,89.6,4,0,11.5,MR,1611773984
298,Constitución,-35.3333,-72.4167,67.03,48,92,20.71,CL,1611774189
299,San Ignacio,17.1561,-89.0714,86.0,66,20,6.91,BZ,1611774191
300,Avera,33.194,-82.5271,59.0,77,90,8.05,US,1611773926
301,Prince Rupert,54.3161,-130.3201,33.8,80,1,6.91,CA,1611774077
302,High Prairie,55.4334,-116.4858,-2.2,78,100,8.05,CA,1611774039
303,Beloha,-25.1667,45.05,77.67,77,15,14.2,MG,1611774195
304,Malbork,54.0359,19.0266,30.99,87,99,3.0,PL,1611774196
305,Loreto,22.2667,-101.9667,73.99,20,26,9.66,MX,1611774197
306,Mbandaka,0.0487,18.2603,73.33,91,100,1.12,CD,1611774198
307,Longyearbyen,78.2186,15.6401,8.6,61,20,17.27,SJ,1611774191
308,Khovd,48.0056,91.6419,1.78,80,31,1.3,MN,1611774201
309,Kita,13.0349,-9.4895,83.05,12,0,4.65,ML,1611774202
310,Nhulunbuy,-12.2333,136.7667,78.8,89,58,5.75,AU,1611774203
311,Ponta Delgada,37.7333,-25.6667,64.0,94,40,16.11,PT,1611773961
312,Ekhabi,53.5102,142.9671,11.14,96,100,14.65,RU,1611774208
313,Mount Isa,-20.7333,139.5,80.6,69,0,12.66,AU,1611774210
314,Mandalgovi,45.7625,106.2708,-10.61,79,0,5.64,MN,1611774211
315,Muisne,0.6,-80.0333,80.6,89,40,9.22,EC,1611774212
316,Zhengjiatun,43.5064,123.5064,3.42,88,100,11.79,CN,1611774213
317,Saint-François,46.4154,3.9054,46.4,93,90,3.44,FR,1611774214
318,Noyabrsk,63.1994,75.4507,-39.12,80,37,6.22,RU,1611774180
319,Raja,8.4596,25.678,78.24,27,85,3.4,SS,1611774216
320,Marabu,4.4148,114.0089,75.2,100,40,1.14,MY,1611774177
321,Ishigaki,24.3448,124.1572,64.92,78,89,17.05,JP,1611774219
322,Miraflores,19.2167,-98.8083,71.6,18,40,8.05,MX,1611774220
323,Ucluelet,48.9329,-125.5528,39.0,87,90,4.61,CA,1611774174
324,Abu Dhabi,24.4667,54.3667,68.0,73,0,3.44,AE,1611774187
325,Najrān,17.4924,44.1277,62.6,31,0,6.91,SA,1611774223
326,Iracoubo,5.4802,-53.2011,80.19,72,2,11.99,GF,1611774072
327,Vilhena,-12.7406,-60.1458,82.4,65,75,11.5,BR,1611774225
328,Owando,-0.4819,15.8999,71.74,92,99,4.85,CG,1611774227
329,Brigham City,41.5102,-112.0155,33.01,64,90,23.02,US,1611774228
330,Garoowe,8.4054,48.4845,69.94,48,0,14.45,SO,1611774229
331,Pisco,-13.7,-76.2167,75.2,64,0,8.05,PE,1611774230
332,Sokodé,8.9833,1.1333,91.4,24,0,1.97,TG,1611774231
333,Antofagasta,-23.65,-70.4,71.6,64,20,17.27,CL,1611774134
334,Camacha,33.0833,-16.3333,62.6,94,40,12.66,PT,1611774233
335,Port-Cartier,50.0334,-66.8654,27.0,50,24,3.44,CA,1611774236
336,Sibolga,1.7427,98.7792,75.4,82,100,4.09,ID,1611774237
337,Srednekolymsk,67.45,153.6833,-25.83,85,100,10.85,RU,1611774238
338,Verkhnyaya Inta,65.9811,60.3094,1.29,93,100,14.45,RU,1611774239
339,Bereda,43.2686,-7.5406,57.99,91,100,8.99,ES,1611774240
340,Qinhuangdao,39.9317,119.5883,26.24,76,100,12.46,CN,1611774241
341,Gushikawa,26.3544,127.8686,62.6,67,20,16.11,JP,1611774242
342,Cabo San Lucas,22.8909,-109.9124,73.99,40,100,5.99,MX,1611774000
343,Xinzhou,38.4092,112.7333,18.28,58,0,9.4,CN,1611774245
344,Tsabong,-26.0217,22.401,81.27,22,94,8.81,BW,1611774246
345,Ondjiva,-17.0667,15.7333,74.23,66,100,6.42,AO,1611774247
346,Bolligen,46.9751,7.497,37.0,100,90,4.61,CH,1611774248
347,Los Llanos de Aridane,28.6585,-17.9182,68.0,73,75,9.22,ES,1611774250
348,Trelew,-43.249,-65.3051,72.63,25,100,18.01,AR,1611774251
349,Ukiah,39.1502,-123.2078,44.6,87,90,7.54,US,1611774253
350,São Domingos,-13.3983,-46.3183,81.99,59,91,4.88,BR,1611774254
351,Moyale,3.5167,39.0584,74.61,36,0,12.1,KE,1611774131
352,Launceston,-41.45,147.1667,51.01,71,99,13.8,AU,1611774257
353,Crixás,-14.5489,-49.9692,85.14,64,88,4.21,BR,1611774258
354,Esim,4.8699,-2.2405,79.45,84,45,9.42,GH,1611774260
355,Urdoma,61.7533,48.5442,31.3,98,97,8.3,RU,1611774261
356,Örnsköldsvik,63.2909,18.7153,17.6,93,90,5.75,SE,1611774262
